N,Titulo,link
445,El arte en juego | Maria Lujan Oulton | TEDxRiodelaPlata,https://youtu.be/MARBCzcO1wg
446,"Simbiosis entre el arte, la ciencia y la tecnología | Joaquín Fargas | TEDxRíodelaPlata",https://youtu.be/AB9VToh2y-s
447,"ARTE, LA CLAVE PARA LA TRANSFORMACIÓN SOCIAL | Omar Inzunza ""Gran OM"" | TEDxCalzadaDeLosHéroes",https://youtu.be/ok7sYE5sSCw
448,El peso de la Historia | Alejandro Rosas | TEDxCalzadaDeLosHéroes,https://youtu.be/lJSb_2XevdQ
449,Leer es resistir | Benito Taibo | TEDxUNAMAcatlán,https://youtu.be/iTEz1yOmepQ
450,Todo cuenta: la literatura fuera de lugar | María José Navia | TEDxPUCdeChile,https://youtu.be/Sg_HyuJCMQ8
451,Cómo apasionarte por la literatura | Andrea Dardón | TEDxUFM,https://youtu.be/YbdTQklQn-E
452,Leer es bueno | Marie Paz | TEDxRíodePiedras,https://youtu.be/R0zorGrtEBs
453,¿A qué saben las palabras? | Laura García Arroyo | TEDxMexicoCity,https://youtu.be/jKrn72R1FEc
454,La Voz del Artista | Fernanda Castillo | TEDxPitic,https://youtu.be/rDqLyBpo49A
455,Tiempo al tiempo | Jonatan Loidi | TEDxDurazno,https://youtu.be/xrK8-e3tgTg
456,Te invito a creer: Manuel Lozano at TEDxRiodelaPlata,https://youtu.be/tkTEsTASKgA
457,Quién es Dios para mí? | Margarita Barrientos | TEDxRiodelaPlata,https://youtu.be/xJpyykyIGJ8
458,Vivir hasta morir | Matías Najún | TEDxRiodelaPlata,https://youtu.be/6-uQUaV-rJg
459,Los últimos 8 días de vida: Germán Montenegro at TEDxResistencia,https://youtu.be/Oa8onCf9UZY
460,Materializando sueños frente a la adversidad: Nicolas Mango at TEDxResistencia,https://youtu.be/gVTlbOo6DTw
461,Cuando la adversidad nos fortalece | Juan Roberto Aguiló | TEDxUDDSalon,https://youtu.be/3vCjQg0F7Hc
462,Fabricando Oportunidades | Jonatan Ariste | TEDxRecoleta,https://youtu.be/YajPEQUVrMU
463,Enamórate de lo que haces! | Guilherme Neyra | TEDxCharacato,https://youtu.be/BFZkYOeAVKs
464,"Talentos, Habilidades y Neuroplasticidad | Alejandra del Fabro | TEDxJoven@PaseodelBosque",https://youtu.be/VPBf_80yAWg
465,"""Nuestra salud más allá del médico"" | Andrea Burón | TEDxMalagueta",https://youtu.be/I5w1AAobW8s
466,Bienestar y malestar ¿Es igual a salud y enfermedad? | Carlos Barclay | TEDxBariloche,https://youtu.be/akz2qoJnK3A
467,Zombies en la escuela | Juli Garbulsky | TEDxRiodelaPlata,https://www.youtube.com/watch?v=g6zBmBUOMhY
468,Graduación UP - Paulo Pantigoso,https://www.youtube.com/watch?v=fmJ7FsUzQnc
469,"Cuando sabes quien eres, sabes lo que tienes que hacer | Alejandra Acosta | TEDxYouth@Valladolid",https://youtu.be/DC9pAFnmiWY
470,El poder de conocer tu propria identidad | Maysun Abu-Khdeir | TEDxZaragoza,https://youtu.be/7foLnilB7Lw
471,¿Por qué nos cuesta mirarnos al espejo? | Andrea Vilallonga | TEDxTarragona,https://youtu.be/5slX7TRUqa8
472,El Secreto de tu imagen Personal | Magali Montes | TEDxMoreliaSalon,https://youtu.be/DfVEVHi-HWw
473,El lenguaje de señas.: De un problema a una oportunidad | Esteban Ramirez | TEDxCharacato,https://youtu.be/90fM3LQztPU
474,EL LENGUAJE CORPORAL | Carina Talio | TEDxComodoroRivadavia,https://youtu.be/N_RFQDKq3-Y
475,Los niños deben BAILAR! | David Campos | TEDxBarcelona,https://youtu.be/JcOzifjek08
476,Llegar a ser el que eres | Pamela Frank | TEDxUNLaM | Pamela Frank | TEDxUNLaM,https://youtu.be/XBn0XE_4SNM
477,Identidades interculturales para contrarrestar la xenofobia | Lidia Camara | TEDxValladolid,https://youtu.be/U0bRlf7xmYs
478,Aceptarse a uno mismo para aceptar a los demás | Patricia Díaz-Caneja | TEDxGijon,https://youtu.be/nIRBVX-PWYs
479,No estoy enferma soy una mujer transexual | Marta Reina Izquiano | TEDxLleida,https://youtu.be/Y7NQkxe7I4s
480,"MÁS QUE UN CAPRICHO, UNA NECESIDAD | Valeria Bonilla | TEDxBogotaMujeres",https://youtu.be/Hcg0gsQW-Rw
481,El poder de la opción B para romper estereotipos. | Alexandra Olaya - Castro | TEDxBogotaMujeres,https://youtu.be/t2GxMJDsl6Q
482,Desescolarizar la educación | Maria Victoria Peralta | TEDxPuraVidaED,https://youtu.be/cv0SVHsuGRE
483,"Un mensaje de sabiduría. Ramón Bayés, psicólogo y escritor",https://www.youtube.com/watch?v=xa9xI5j6INk
484,Entrevista a PEDRO RUIZ | Las tres puertas,https://www.youtube.com/watch?v=6FsorkGsDoU
485,3 Mantras de un joven exitoso | Manuel De León | TEDxCoatzacoalcos,https://www.youtube.com/watch?v=xhkzJeaeDrY
486,¿Qué tienen los pobres en la cabeza? | Mayra Arena | TEDxBahiaBlanca,https://www.youtube.com/watch?v=4JDu69Jy41Y
487,Los beneficios de ser pobre | Mayra Arena | TEDxBariloche,https://www.youtube.com/watch?v=wHMJNc6wv5E
488,Cuidemos al Cuidador de Alzheimer | Mara López Wortzman | TEDxBariloche,https://www.youtube.com/watch?v=LkwVUyYk1R0
489,Encuentra tu pasión a través del miedo | Fric Martínez | TEDxCiudadVictoria,https://www.youtube.com/watch?v=e3RGSE78_to
490,La influencia del entorno en la formación de líderes | Alejandro Kasuga | TEDxUPAEP,https://www.youtube.com/watch?v=OT3Tw-FjqhY
491,"Deja de decir, empieza a hacer | Arturo Aramburú | TEDxUDLAP",https://www.youtube.com/watch?v=BrXJs7qjcx8
492,Rompe tus límites | Lety Sahagún | TEDxUniversidadPanamericana,https://www.youtube.com/watch?v=t3J3Dk3cAfI
493,Para mover al mundo primero muévete tu | Catalina Escobar | TEDxLasAguas,https://www.youtube.com/watch?v=bKoeUszwqwM
494,Lo que Crees Creas | María Susana Rivadeneira | TEDxPeñas,https://www.youtube.com/watch?v=9iBojf8vp3Y
495,Una adicción que potencia vidas | Mariela Alvarado | TEDxPuraVida,https://www.youtube.com/watch?v=gII5ORa4lmg
496,El poder de los botones | Carolina Rodriguez | TEDxPuraVidaSalon,https://www.youtube.com/watch?v=dQ_viuQh0w8
497,Los videojuegos enseñan mejor que la escuela: GONZALO FRASCA at TEDxMontevideo 2012,https://www.youtube.com/watch?v=TbTm1Lkm18o
498,Cómo superar las fallas del sistema educativo | Jurgen Klaric | TEDxUANL,https://www.youtube.com/watch?v=4J-lLDp4OXs
499,Haz lo que puedas con lo que tengas | Jessica Fernández | TEDxUDLAP,https://www.youtube.com/watch?v=Eipx0zyXvXI
500,Sorprendizaje: Como acabar con una educación aburrida | Ramón Barrera | TEDxSevilla,https://www.youtube.com/watch?v=FXTQq7Ojp94
